"YEAR","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2014,"EPLL","Lodz - Lublinek","Poland",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPMO","Warszawa/ Modlin","Poland",6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPPO","Poznan - Lawica","Poland",9126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPRA","Radom","Poland",310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPRZ","Rzeszow - Jasionka","Poland",4379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPSC","Szczecin - Goleniów","Poland",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPWA","Warszawa/ Chopina","Poland",69132,22408,0,999,0,0,14360,0,0,0,230,152,0,2053,0,0,4614,0,0.324133541630504,0,0.0144506162124631,0,0,0.207718567378349,0,0,0,0.00332696869756408,0.00219869235665104,0,0.0296968118960829,0,0,0.0667418850893942,0
2014,"EPWR","Wroclaw/ Strachowice","Poland",11852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EPZG","Zielona Gora - Babimost","Poland",431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"ESSA","Stockholm/ Arlanda","Sweden",114145,30471,0,0,0,0,2820,0,0,0,10263,0,0,0,0,0,17388,0,0.266949932103903,0,0,0,0,0.0247054185465855,0,0,0,0.0899119540934776,0,0,0,0,0,0.15233255946384,0
2014,"ESSB","Stockholm/ Bromma","Sweden",25295,11438,0,0,0,0,0,0,0,0,25,0,0,0,0,0,11413,0,0.452184226131647,0,0,0,0,0,0,0,0,0.00098833761612967,0,0,0,0,0,0.451195888515517,0
2014,"EVLA","Liepaja","Latvia",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"EVRA","Riga","Latvia",32706,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0.000336329725432642,0,0,0,0,0,0,0,0,0.000336329725432642,0,0,0,0,0,0,0
