"YEAR","MONTH","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG","LABEL"
2014,"APR","EINN","Shannon","Ireland",1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shannon (EINN) "
2014,"APR","EISG","Sligo","Ireland",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sligo (EISG) "
2014,"APR","EIWF","Waterford","Ireland",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Waterford (EIWF) "
2014,"APR","EIWT","Weston","Ireland",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Weston (EIWT) "
2014,"APR","EKCH","Copenhagen/ Kastrup","Denmark",10588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Copenhagen/ Kastrup (EKCH) "
2014,"APR","ELLX","Luxembourg","Luxembourg",2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luxembourg (ELLX) "
2014,"APR","ENBR","Bergen","Norway",4065,1345,0,418,0,0,204,0,0,0,0,0,0,594,0,0,129,0,0.330873308733087,0,0.102829028290283,0,0,0.0501845018450185,0,0,0,0,0,0,0.146125461254613,0,0,0.0317343173431734,0,"Bergen (ENBR) "
2014,"APR","ENGM","Oslo/ Gardermoen","Norway",10150,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0.0348768472906404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348768472906404,0,"Oslo/ Gardermoen (ENGM) "
2014,"APR","ENHD","Haugesund","Norway",338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Haugesund (ENHD) "
2014,"APR","ENVA","Trondheim","Norway",2253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trondheim (ENVA) "
2014,"APR","ENZV","Stavanger","Norway",3452,261,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0.0756083429895713,0,0,0,0,0,0,0,0,0,0,0,0.0756083429895713,0,0,0,0,"Stavanger (ENZV) "
2014,"APR","EPBY","Bydgoszcz","Poland",126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bydgoszcz (EPBY) "
2014,"APR","EPGD","Gdansk","Poland",1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gdansk (EPGD) "
2014,"APR","EPKK","Krakow - Balice","Poland",1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Krakow - Balice (EPKK) "
2014,"APR","EPKT","Katowice - Pyrzowice","Poland",907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Katowice - Pyrzowice (EPKT) "
2014,"APR","EPLB","Lublin","Poland",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lublin (EPLB) "
2014,"APR","EPLL","Lodz - Lublinek","Poland",159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lodz - Lublinek (EPLL) "
2014,"APR","EPMO","Warszawa/ Modlin","Poland",524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warszawa/ Modlin (EPMO) "
2014,"APR","EPPO","Poznan - Lawica","Poland",700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poznan - Lawica (EPPO) "
2014,"APR","EPRA","Radom","Poland",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Radom (EPRA) "
2014,"APR","EPRZ","Rzeszow - Jasionka","Poland",381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rzeszow - Jasionka (EPRZ) "
2014,"APR","EPSC","Szczecin - Goleniów","Poland",168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Szczecin - Goleniów (EPSC) "
2014,"APR","EPWA","Warszawa/ Chopina","Poland",5536,249,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0.044978323699422,0,0,0,0,0,0,0,0,0,0,0,0.044978323699422,0,0,0,0,"Warszawa/ Chopina (EPWA) "
2014,"APR","EPWR","Wroclaw/ Strachowice","Poland",922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wroclaw/ Strachowice (EPWR) "
2014,"APR","EPZG","Zielona Gora - Babimost","Poland",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zielona Gora - Babimost (EPZG) "
2014,"APR","ESSA","Stockholm/ Arlanda","Sweden",9703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stockholm/ Arlanda (ESSA) "
2014,"APR","ESSB","Stockholm/ Bromma","Sweden",2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stockholm/ Bromma (ESSB) "
2014,"APR","EVRA","Riga","Latvia",2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Riga (EVRA) "
2014,"APR","EYKA","Kaunas","Lithuania",334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaunas (EYKA) "
