"YEAR","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG","FLIGHTS_DELAYED_AVG","FLIGHTS_DELAYED_15_AVG","TARGET"
2012,"IAA","ANSP (AUA)",520650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"LFV","ANSP (AUA)",691404,26783,0,6811,0,0,0,0,0,0,13019,0,0,294,215,0,6444,0,1986,704,0.0387371204100642,0,0.00985096991050095,0,0,0,0,0,0,0.0188298013896362,0,0,0.000425221722755437,0.000310961463919792,0,0.00932016592325182,0,0.00287241612718469,0.00101821800278853,NA
2012,"LGS","ANSP (AUA)",231937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"LPS","ANSP (AUA)",380017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"LVNL","ANSP (AUA)",554281,91892,0,74207,0,0,5455,0,244,0,0,0,0,98,31,0,11857,0,6160,2894,0.165785946117583,0,0.133879746915373,0,0,0.00984157854950828,0,0.000440209929620535,0,0,0,0,0.000176805627470543,5.59283107304779e-05,0,0.0213916767848799,0,0.0111134965838627,0.00522117842754848,NA
2012,"M-NAV","ANSP (AUA)",112549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"MATS","ANSP (AUA)",96948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"MoldATSA","ANSP (AUA)",63856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"MUAC","ANSP (AUA)",1605505,59006,0,17982,0,0,0,0,12770,0,0,1868,0,2071,0,0,24315,0,3808,1668,0.0367522991208374,0,0.011200214262802,0,0,0,0,0.00795388366900134,0,0,0.00116349684367224,0,0.00128993681115911,0,0,0.0151447675342026,0,0.00237183939009844,0.00103892544713346,NA
2012,"NATS (Continental)","ANSP (AUA)",2160176,155001,0,56616,0,0,180,0,2123,0,973,0,320,15551,1221,0,78017,0,8162,4519,0.0717538756101355,0,0.026208975564954,0,0,8.33265437631008e-05,0,0.000982790291161461,0,0.000450426261563873,0,0.000148136077801068,0.00719895045588878,0.0005652317218597,0,0.0361160386931435,0,0.00377839583441349,0.00209195917369696,NA
2012,"NAV Portugal (Continental)","ANSP (AUA)",435700,281190,0,128086,0,0,0,6857,0,1739,754,4650,0,129696,8749,0,659,0,15850,7667,0.645375258205187,0,0.293977507459261,0,0,0,0.0157378930456736,0,0.00399127840257058,0.00173054854257517,0.0106724810649529,0,0.297672710580675,0.0200803305026394,0,0.00151250860683957,0,0.0363782419095708,0.0175969703924719,NA
2012,"NAVIAIR","ANSP (AUA)",615460,144,0,0,0,0,0,0,5,0,0,0,0,0,0,0,139,0,7,4,0.000233971338511032,0,0,0,0,0,0,8.12400480941085e-06,0,0,0,0,0,0,0,0.000225847333701622,0,1.13736067331752e-05,6.49920384752868e-06,NA
2012,"ONDA","ANSP (AUA)",323530,1989,0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,53,0.00614780700398727,0,0.00614780700398727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213272339504837,0.000163817883967484,NA
2012,"Oro Navigacija","ANSP (AUA)",204400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,"PANSA","ANSP (AUA)",672073,352182,0,231337,0,0,0,0,1711,201,3291,4316,59,71696,14441,0,25130,0,21579,10134,0.524023431978371,0,0.344214095790189,0,0,0,0,0.00254585439379353,0.000299074654092636,0.00489678948566599,0.00642192142817819,8.77880825446045e-05,0.106678887561321,0.0214872491529938,0,0.0373917714295917,0,0.0321081192072885,0.0150787191272377,NA
2012,"ROMATSA","ANSP (AUA)",487189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
