"YEAR","ICAO","NAME","STATE","FLIGHTS_NM","FLIGHTS_APT","DELAY_APT","FLIGHTS_AL","DELAY_AL"
2014,"LFPN","Toussus-le-Noble","France",5125,0,0,0,0
2014,"LFPO","Paris-Orly","France",115520,0,0,83753,31403
2014,"LFQQ","Lille-Lesquin","France",11052,0,0,7023,322
2014,"LFRB","Brest-Bretagne","France",7429,0,0,5494,512
2014,"LFRD","Dinard-Pleurtuit-Saint-Malo","France",1655,0,0,370,8
2014,"LFRG","Deauville-Normandie","France",1696,0,0,262,28
2014,"LFRH","Lorient-Lann Bihoué","France",3291,0,0,983,71
2014,"LFRK","Caen-Carpiquet","France",2586,0,0,964,7
2014,"LFRM","Le Mans","France",686,0,0,4,0
2014,"LFRN","Rennes-Saint-Jacques","France",7944,0,0,4612,304
2014,"LFRO","Lannion","France",703,0,0,370,0
2014,"LFRQ","Quimper-Pluguffan","France",1388,0,0,1013,83
2014,"LFRS","Nantes-Atlantique","France",25587,0,0,19951,4637
2014,"LFRZ","Saint-Nazaire-Montoir","France",1381,0,0,248,0
2014,"LFSB","Bâle-Mulhouse","France",37950,37996,2103,28286,3691
2014,"LFSL","Brive-Souillac","France",1651,0,0,594,8
2014,"LFST","Strasbourg-Entzheim","France",11330,0,0,8790,142
2014,"LFTH","Hyères-Le Palyvestre","France",5269,0,0,2313,383
2014,"LFTW","Nîmes-Garons","France",1881,0,0,668,20
2014,"LGAV","Athens","Greece",74401,74391,24744,56868,18567
2014,"LGIR","Heraklion","Greece",23387,0,0,12127,3512
2014,"LGKF","Kefallinia","Greece",2347,0,0,1526,204
2014,"LGKO","Kos","Greece",8932,0,0,5413,2011
2014,"LGKR","Corfu","Greece",10262,0,0,6442,4669
2014,"LGMK","Mikonos","Greece",5460,0,0,2767,760
2014,"LGPZ","Aktion","Greece",1929,0,0,773,106
2014,"LGRP","Rodos","Greece",18287,0,0,10689,2417
2014,"LGSA","Khania/Souda","Greece",12185,0,0,6806,1318
2014,"LGSK","Skiathos","Greece",1575,0,0,1073,58
2014,"LGSR","Santorini","Greece",5616,0,0,3646,635
2014,"LGTS","Thessaloniki","Greece",24567,0,0,16888,4389
2014,"LGZA","Zakinthos","Greece",4658,0,0,2708,1309
2014,"LHBP","Budapest/ Ferihegy","Hungary",43194,43379,6235,32346,5336
2014,"LIBR","Brindisi","Italy",8699,0,0,7690,1373
2014,"LICC","Catania","Italy",30385,30082,86800,26571,24679
2014,"LIMC","Milan/ Malpensa","Italy",83325,80791,46367,60293,33468
2014,"LIME","Bergamo","Italy",33713,33315,24251,27140,20052
2014,"LIML","Milan/ Linate","Italy",55808,45210,18235,44568,19457
2014,"LIPH","Treviso","Italy",8302,0,0,6842,7302
2014,"LIPZ","Venice","Italy",38872,38931,64065,29564,19583
2014,"LIRA","Rome/Ciampino","Italy",26182,0,0,16415,15082
2014,"LIRF","Rome/Fiumicino","Italy",156074,156105,323263,129376,281329
2014,"LIRP","Pisa San Giusto","Italy",20773,0,0,15783,24684
2014,"LJLJ","Ljubljana","Slovenia",13053,0,0,2134,160
2014,"LJMB","Maribor","Slovenia",674,0,0,47,8
2014,"LJPZ","Portorož","Slovenia",609,0,0,0,0
2014,"LKKV","Karlovy Vary","Czech Republic",1026,0,0,262,5
2014,"LKMT","Ostrava","Czech Republic",3090,0,0,1422,7
2014,"LKPR","Prague","Czech Republic",60582,60301,15514,45136,25482
2014,"LKTB","Brno-Turany","Czech Republic",3562,0,0,1511,29
2014,"LMML","Malta","Malta",19275,19513,1579,15131,2096
2014,"LOWG","Graz","Austria",9136,0,0,5928,99
2014,"LOWI","Innsbruck","Austria",8960,0,0,5198,1107
2014,"LOWK","Klagenfurt","Austria",3815,0,0,1916,0
2014,"LOWL","Linz","Austria",8137,0,0,4705,231
2014,"LOWS","Salzburg","Austria",14692,0,0,8359,2754
2014,"LOWW","Vienna","Austria",123591,0,0,102042,46507
2014,"LPAZ","Santa Maria","Portugal",1290,0,0,2,0
2014,"LPCS","Cascais","Portugal",1262,0,0,0,0
2014,"LPFL","Flores","Portugal",591,0,0,0,0
2014,"LPFR","Faro","Portugal",21982,0,0,17139,3066
2014,"LPHR","Horta","Portugal",2015,0,0,288,86
2014,"LPMA","Madeira","Portugal",10806,0,0,7367,3713
2014,"LPPD","Ponta Delgada","Portugal",6025,0,0,340,47
2014,"LPPR","Porto","Portugal",31699,0,0,27672,13114
2014,"LPPS","Porto Santo","Portugal",1593,0,0,240,33
2014,"LPPT","Lisbon","Portugal",78280,0,0,68967,63509
2014,"LQSA","Sarajevo","Bosnia & Herzegovina",5664,0,0,2349,96
2014,"LRBS","Bucharest/ Baneasa","Romania",1934,0,0,11,0
