"YEAR","ICAO","NAME","STATE","ASMA_RADIUS","LABEL","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD"
2017,"ESSA","Stockholm/ Arlanda","Sweden",40,"Stockholm/ Arlanda (ESSA)",121404,1576392,145531
2017,"EVRA","Riga","Latvia",40,"Riga (EVRA)",36265,456380,43173
2017,"EYVI","Vilnius","Lithuania",40,"Vilnius (EYVI)",0,0,0
2017,"GCFV","Fuerteventura","Spain",40,"Fuerteventura (GCFV)",22182,310758,12355
2017,"GCLP","Gran Canaria","Spain",40,"Gran Canaria (GCLP)",46980,679575,77632
2017,"GCRR","Lanzarote","Spain",40,"Lanzarote (GCRR)",28189,385580,25852
2017,"GCTS","Tenerife Sur/Reina Sofia","Spain",40,"Tenerife Sur/Reina Sofia (GCTS)",32347,415930,30263
2017,"GCXO","Tenerife North","Spain",40,"Tenerife North (GCXO)",14809,174541,9280
2017,"LBSF","Sofia","Bulgaria",40,"Sofia (LBSF)",26986,342584,10377
2017,"LCLK","Larnaca","Cyprus",40,"Larnaca (LCLK)",0,0,0
2017,"LEAL","Alicante","Spain",40,"Alicante (LEAL)",46681,658830,49045
2017,"LEBB","Bilbao","Spain",40,"Bilbao (LEBB)",21604,285958,4379
2017,"LEBL","Barcelona","Spain",40,"Barcelona (LEBL)",159300,2015713,425783
2017,"LEIB","Ibiza","Spain",40,"Ibiza (LEIB)",30932,416234,34579
2017,"LEMD","Madrid/ Barajas","Spain",40,"Madrid/ Barajas (LEMD)",190280,2559044,202819
2017,"LEMG","Málaga","Spain",40,"Málaga (LEMG)",63500,839876,78810
2017,"LEPA","Palma de Mallorca","Spain",40,"Palma de Mallorca (LEPA)",94028,1192930,175071
2017,"LEVC","Valencia","Spain",40,"Valencia (LEVC)",29580,388654,16719
2017,"LEZL","Sevilla","Spain",40,"Sevilla (LEZL)",18829,229393,7302
2017,"LFLL","Lyon-Saint-Exupéry","France",40,"Lyon-Saint-Exupéry (LFLL)",53415,686590,39447
2017,"LFMN","Nice-Côte d’Azur","France",40,"Nice-Côte d’Azur (LFMN)",66783,931265,126523
2017,"LFPG","Paris-Charles-de-Gaulle","France",40,"Paris-Charles-de-Gaulle (LFPG)",236088,3423962,162649
2017,"LFPO","Paris-Orly","France",40,"Paris-Orly (LFPO)",114261,1602107,124622
2017,"LFSB","Bâle-Mulhouse","France",40,"Bâle-Mulhouse (LFSB)",34812,471221,20782
2017,"LGAV","Athens","Greece",40,"Athens (LGAV)",85586,1121693,75415
2017,"LHBP","Budapest/ Ferihegy","Hungary",40,"Budapest/ Ferihegy (LHBP)",49468,644906,70980
2017,"LICC","Catania","Italy",40,"Catania (LICC)",33300,413026,36198
2017,"LIMC","Milan/ Malpensa","Italy",40,"Milan/ Malpensa (LIMC)",86094,1049570,57145
2017,"LIME","Bergamo","Italy",40,"Bergamo (LIME)",41758,591945,39869
2017,"LIMF","Torino Caselle","Italy",40,"Torino Caselle (LIMF)",19598,257193,6624
2017,"LIML","Milan/ Linate","Italy",40,"Milan/ Linate (LIML)",53149,604210,32626
2017,"LIPE","Bologna","Italy",40,"Bologna (LIPE)",32320,418961,30351
2017,"LIPZ","Venice","Italy",40,"Venice (LIPZ)",44938,514752,38433
2017,"LIRF","Rome/Fiumicino","Italy",40,"Rome/Fiumicino (LIRF)",146690,1815707,248399
2017,"LIRN","Naples","Italy",40,"Naples (LIRN)",34671,473986,29188
2017,"LJLJ","Ljubljana","Slovenia",40,"Ljubljana (LJLJ)",13478,171317,5393
2017,"LKPR","Prague","Czech Republic",40,"Prague (LKPR)",69747,882973,103231
2017,"LMML","Malta","Malta",40,"Malta (LMML)",23466,279585,18517
2017,"LOWW","Vienna","Austria",40,"Vienna (LOWW)",115379,1422487,219757
2017,"LPPR","Porto","Portugal",40,"Porto (LPPR)",42246,530909,37467
2017,"LPPT","Lisbon","Portugal",40,"Lisbon (LPPT)",100076,1338179,292085
2017,"LROP","Bucharest/ Otopeni","Romania",40,"Bucharest/ Otopeni (LROP)",56288,673109,77949
2017,"LSGG","Geneva","Switzerland",40,"Geneva (LSGG)",89449,1167104,195248
2017,"LSZH","Zürich","Switzerland",40,"Zürich (LSZH)",123701,1635901,303007
2017,"LZIB","Bratislava","Slovakia",40,"Bratislava (LZIB)",9383,118752,3013
2018,"EBBR","Brussels","Belgium",40,"Brussels (EBBR)",83228,1043112,71411
2018,"EBCI","Charleroi","Belgium",40,"Charleroi (EBCI)",17449,216640,4075
2018,"EDDB","Berlin/ Schoenefeld","Germany",40,"Berlin/ Schoenefeld (EDDB)",36483,486577,10513
2018,"EDDE","Erfurt","Germany",40,"Erfurt (EDDE)",1378,18051,255
2018,"EDDF","Frankfurt","Germany",40,"Frankfurt (EDDF)",179868,2519736,321881
2018,"EDDG","Muenster-Osnabrueck","Germany",40,"Muenster-Osnabrueck (EDDG)",4630,61683,228
