"YEAR","MONTH","NAME","TYPE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","FLIGHTS_DELAYED","FLIGHTS_DELAYED_15","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2011,"APR","LVNL","ANSP (AUA)",47055,7679,NA,6366,NA,NA,1313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,233,0.16319200935076,NA,0.13528849218999,NA,NA,0.0279035171607693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","M-NAV","ANSP (AUA)",8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","MATS","ANSP (AUA)",6524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","MoldATSA","ANSP (AUA)",4206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","MUAC","ANSP (AUA)",131954,698,NA,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,52,20,0.00528972217590979,NA,0.00471376388741531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000575958288494475,NA
2011,"APR","NATS (Continental)","ANSP (AUA)",179699,10372,NA,5349,NA,NA,NA,NA,250,NA,891,NA,3525,241,NA,NA,116,NA,787,282,0.0577187407831986,NA,0.0297664427737494,NA,NA,NA,NA,0.00139121531004624,NA,0.00495829136500481,NA,0.019616135871652,0.00134113155888458,NA,NA,0.000645523903861457,NA
2011,"APR","NAV Portugal (Continental)","ANSP (AUA)",38944,2195,NA,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1651,NA,NA,NA,127,65,0.0563629827444536,NA,0.0139687756778965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0423942070665571,NA,NA,NA
2011,"APR","NAVIAIR","ANSP (AUA)",52413,134,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,0.00255661763302997,NA,0.00255661763302997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","ONDA","ANSP (AUA)",31693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"APR","Oro Navigacija","ANSP (AUA)",15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
